Filename,Label,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,Chroma_Mean,Chroma_Var,SFM,Spectral_Centroid,Spectral_Spread,ZCR,STE,Spectral_Skewness
mixed12 (24).wav,mixed,-177.56616,161.91016,-13.581767,25.643229,14.320283,1001.4459,15.058979274515744,13.369864327466491,0.5123225,0.084181644,0.002674917,2214.3201447977544,3312.5063739751054,0.040168148347701146,20.081666232813472,8.754468
mixed12 (25).wav,mixed,-164.08914,149.63615,-15.731502,18.551167,-2.9417531,1096.8329,16.5862148951467,22.583524616054138,0.44232002,0.09883654,0.0038499641,2482.2703503673806,3451.271706889045,0.047155621408045974,27.920776834151564,8.655731
mixed12 (3).wav,mixed,-239.45964,141.60072,0.55697876,17.443876,10.594843,2026.7025,15.68037827279329,18.41189973017024,0.4884688,0.09779007,0.020416839,2888.8558215250423,3872.8164951685962,0.06572153376436782,13.871140470534478,10.125275
mixed12 (4).wav,mixed,-168.56094,115.1079,-12.807191,-1.6654009,-0.3773533,2761.4736,14.453660410131432,11.439835036521226,0.5370675,0.057026986,0.069633625,4563.0833062657875,4739.737042712623,0.13090427442528735,12.721942946476313,5.7028117
mixed12 (5).wav,mixed,-202.3396,174.1058,-15.869864,18.25442,0.6148297,723.5129,16.55620150749406,22.674259471246863,0.4407072,0.09318005,0.0013035352,1840.3817100830079,2893.7403145800818,0.03451643318965517,21.172836671093467,8.949371
mixed12 (6).wav,mixed,-221.42792,160.75684,-12.066876,21.679293,1.9225541,1331.4799,16.68422236836827,21.718142266753315,0.44761923,0.09047618,0.0020546722,2141.904367618628,3268.973615979353,0.03918036099137931,11.065368962517235,8.68783
mixed12 (7).wav,mixed,-192.6169,198.15773,10.771782,32.2157,13.664422,784.797,14.608367955498329,11.805247596982138,0.60679024,0.06490398,0.000428616,1240.2808613066181,2550.456767610101,0.015664286997126436,46.46800194664541,10.669231
mixed12 (8).wav,mixed,-196.99947,159.10005,-14.547359,17.38017,3.249557,2178.207,15.66434350642594,17.720928651855157,0.49103984,0.08175183,0.0025364375,2255.447138237195,3411.2316668970816,0.03892218929597701,21.47218445999645,8.87893
mixed12 (9).wav,mixed,-175.57623,91.53121,-13.733057,6.2221127,6.39075,2223.1375,15.022896685542406,18.282657309738514,0.5550079,0.058639646,0.08019093,5358.068341868719,5143.391200682991,0.16739066989942528,4.763210074992236,5.6538043
mixed12.wav,mixed,-198.17686,109.032135,1.1746533,-8.736583,6.095443,2043.907,14.941618763298802,16.272201221478745,0.5114093,0.0820406,0.07836041,5174.6395040099505,5278.300842631323,0.16095321479885058,17.695913771334283,8.795655
mixed13 (10).wav,mixed,-191.90744,154.32265,2.757032,27.403744,9.3979845,1417.8312,15.61884157350371,17.850720093674102,0.5048085,0.076149486,0.005269276,2533.3844232924653,3658.728796756151,0.05088788613505747,19.43770296406001,8.4654665
mixed13 (11).wav,mixed,-185.78137,161.71442,-15.6923895,22.596737,10.5711,1473.0815,15.89551444016028,21.594245514410495,0.4595323,0.08901156,0.0030694976,2141.5150391613324,3162.7407614975164,0.039219647988505746,25.937629305617616,9.3050585
mixed13 (12).wav,mixed,-257.7525,109.96134,-0.13712831,5.6794853,9.060222,2967.5798,14.422233643614183,10.468815663556237,0.62093544,0.05823304,0.04298389,4570.514758958993,5060.597424858585,0.10713564116379311,5.183087598866207,8.478204
mixed13 (13).wav,mixed,-263.9551,143.10857,-4.7760525,20.567312,4.9514904,2467.2358,15.577143459264333,20.204186019869002,0.50539273,0.089752816,0.005656218,2643.193153851837,3880.1779764957273,0.04403511135057471,16.447697721577835,10.102843
mixed13 (14).wav,mixed,-199.05356,150.95628,-1.9650037,36.14534,10.209177,1640.0123,16.72266703357608,25.28396148516354,0.41313538,0.080746345,0.008190331,2468.522154165083,3322.7404345618615,0.05541150323275862,23.985461980981935,11.475839
mixed13 (15).wav,mixed,-289.47485,140.1151,8.57291,26.831991,8.548174,2895.5288,15.964382419114257,19.740169864131136,0.52165735,0.08298067,0.006021309,2744.47299709645,4064.208194621603,0.03742928340517242,12.443151902025189,11.268826
mixed13 (16).wav,mixed,-170.70642,132.64082,-12.256231,12.682721,5.069149,2507.9792,15.510598608247177,17.108161209841473,0.5009909,0.083493106,0.04187985,3548.84352313164,4019.4928251282704,0.09972723599137931,18.282705255466475,7.684518
mixed13 (17).wav,mixed,-249.48329,155.53546,-3.6280706,19.759525,5.3413568,2204.864,15.538683315321384,17.94497544774622,0.48984268,0.0838831,0.0032464033,2266.654561848179,3602.4665476369323,0.03540880926724138,13.430277229975802,9.609007
mixed13 (18).wav,mixed,-197.09233,165.31328,-18.007528,19.04666,7.1207576,2460.3958,16.37991274991412,16.993617582805076,0.44207025,0.0911273,0.0022676254,2113.695239685398,3070.1826616058556,0.04075184087643678,25.816425726781304,8.761031
mixed13 (19).wav,mixed,-240.17879,156.26482,-0.1956136,22.060099,14.738967,2683.2783,14.78606277607199,10.6803893111766,0.5676232,0.073547356,0.004916619,2462.1536465794766,3717.402229259823,0.035363909841954026,14.003153341520857,9.827853
